sample	primer	fwd_mismatch	rev_mismatch	count_N	amplicon_size	amplicon_perc_N
24189360|241217059	SARS-CoV-2_1200_8	0	0	0	1141	0
24189360|241217059	SARS-CoV-2_1200_9	0	0	0	1140	0
24189360|241217059	SARS-CoV-2_1200_10	0	0	0	1141	0
24189360|241217059	SARS-CoV-2_1200_11	0	0	0	1117	0
24189360|241217059	SARS-CoV-2_1200_12	0	0	0	1140	0
24189360|241217059	SARS-CoV-2_1200_13	0	0	0	1140	0
24189360|241217059	SARS-CoV-2_1200_14	0	0	0	1141	0
24189360|241217059	SARS-CoV-2_1200_15	0	0	0	1140	0
24189360|241217059	SARS-CoV-2_1200_16	0	0	0	1140	0
24189360|241217059	SARS-CoV-2_1200_17	0	0	0	1140	0
24189360|241217059	SARS-CoV-2_1200_18	0	0	0	1142	0
24189360|241217059	SARS-CoV-2_1200_19	0	0	0	1154	0
24189360|241217059	SARS-CoV-2_1200_20	0	0	0	1140	0
24189360|241217059	SARS-CoV-2_1200_21	0	0	0	1140	0
24189360|241217059	SARS-CoV-2_1200_22	1	0	0	1151	0
24189360|241217059	SARS-CoV-2_1200_23	1	0	0	1150	0
24189360|241217059	SARS-CoV-2_1200_24	0	0	0	1121	0
24189360|241217059	SARS-CoV-2_1200_25	0	0	0	1140	0
24189360|241217059	SARS-CoV-2_1200_26	0	0	0	1140	0
24189360|241217059	SARS-CoV-2_1200_27	1	0	0	1144	0
24189360|241217059	SARS-CoV-2_1200_28	0	1	0	1128	0
24189380|241217059	SARS-CoV-2_1200_2	0	0	0	1140	0
24189380|241217059	SARS-CoV-2_1200_3	0	0	0	1141	0
24189380|241217059	SARS-CoV-2_1200_4	0	0	0	1140	0
24189380|241217059	SARS-CoV-2_1200_5	0	0	0	1140	0
24189380|241217059	SARS-CoV-2_1200_6	0	0	0	1158	0
24189380|241217059	SARS-CoV-2_1200_7	0	0	0	1140	0
24189380|241217059	SARS-CoV-2_1200_8	0	0	0	1141	0
24189380|241217059	SARS-CoV-2_1200_9	0	0	0	1140	0
24189380|241217059	SARS-CoV-2_1200_10	0	0	0	1141	0
24189380|241217059	SARS-CoV-2_1200_11	0	0	0	1117	0
24189380|241217059	SARS-CoV-2_1200_12	0	0	0	1140	0
24189380|241217059	SARS-CoV-2_1200_13	0	0	0	1140	0
24189380|241217059	SARS-CoV-2_1200_14	0	0	0	1141	0
24189380|241217059	SARS-CoV-2_1200_15	0	0	0	1140	0
24189380|241217059	SARS-CoV-2_1200_16	0	0	0	1140	0
24189380|241217059	SARS-CoV-2_1200_17	0	0	0	1140	0
24189380|241217059	SARS-CoV-2_1200_18	0	0	0	1142	0
24189380|241217059	SARS-CoV-2_1200_19	0	0	0	1154	0
24189380|241217059	SARS-CoV-2_1200_20	0	0	0	1140	0
24189380|241217059	SARS-CoV-2_1200_21	0	0	0	1140	0
24189380|241217059	SARS-CoV-2_1200_22	1	0	0	1151	0
24189380|241217059	SARS-CoV-2_1200_23	1	0	0	1150	0
24189380|241217059	SARS-CoV-2_1200_24	0	0	0	1121	0
24189380|241217059	SARS-CoV-2_1200_25	0	0	0	1140	0
24189380|241217059	SARS-CoV-2_1200_26	0	0	0	1140	0
24189380|241217059	SARS-CoV-2_1200_27	1	0	0	1144	0
24189380|241217059	SARS-CoV-2_1200_28	0	1	0	1128	0
24189413|241217059	SARS-CoV-2_1200_2	0	0	0	1140	0
24189413|241217059	SARS-CoV-2_1200_3	0	0	0	1141	0
24189413|241217059	SARS-CoV-2_1200_4	0	0	0	1140	0
24189413|241217059	SARS-CoV-2_1200_5	0	0	0	1140	0
24189413|241217059	SARS-CoV-2_1200_6	0	0	0	1158	0
24189413|241217059	SARS-CoV-2_1200_7	0	0	0	1140	0
24189413|241217059	SARS-CoV-2_1200_8	0	0	0	1141	0
24189413|241217059	SARS-CoV-2_1200_9	0	0	0	1140	0
24189413|241217059	SARS-CoV-2_1200_10	0	0	0	1141	0
24189413|241217059	SARS-CoV-2_1200_11	0	0	0	1117	0
24189413|241217059	SARS-CoV-2_1200_12	0	0	0	1140	0
24189413|241217059	SARS-CoV-2_1200_13	0	0	0	1140	0
24189413|241217059	SARS-CoV-2_1200_14	0	0	0	1141	0
24189413|241217059	SARS-CoV-2_1200_15	0	0	0	1140	0
24189413|241217059	SARS-CoV-2_1200_16	0	0	0	1140	0
24189413|241217059	SARS-CoV-2_1200_17	0	0	0	1140	0
24189413|241217059	SARS-CoV-2_1200_18	0	0	0	1142	0
24189413|241217059	SARS-CoV-2_1200_19	0	0	0	1154	0
24189413|241217059	SARS-CoV-2_1200_20	0	0	0	1140	0
24189413|241217059	SARS-CoV-2_1200_21	0	0	0	1140	0
24189413|241217059	SARS-CoV-2_1200_22	1	0	0	1151	0
24189413|241217059	SARS-CoV-2_1200_23	1	0	0	1150	0
24189413|241217059	SARS-CoV-2_1200_24	0	0	0	1121	0
24189413|241217059	SARS-CoV-2_1200_25	0	0	0	1140	0
24189413|241217059	SARS-CoV-2_1200_26	0	0	0	1140	0
24189413|241217059	SARS-CoV-2_1200_27	1	0	0	1144	0
24189413|241217059	SARS-CoV-2_1200_28	0	1	0	1128	0
24190761|241217059	SARS-CoV-2_1200_14	0	0	994	1141	87.1166
24190768|241217059	SARS-CoV-2_1200_2	0	0	0	1140	0
24190768|241217059	SARS-CoV-2_1200_3	0	0	0	1141	0
24190768|241217059	SARS-CoV-2_1200_4	0	0	0	1140	0
24190768|241217059	SARS-CoV-2_1200_5	0	0	0	1140	0
24190768|241217059	SARS-CoV-2_1200_6	0	0	0	1158	0
24190768|241217059	SARS-CoV-2_1200_7	0	0	0	1140	0
24190768|241217059	SARS-CoV-2_1200_8	0	0	0	1141	0
24190768|241217059	SARS-CoV-2_1200_9	0	0	0	1140	0
24190768|241217059	SARS-CoV-2_1200_10	0	0	0	1141	0
24190768|241217059	SARS-CoV-2_1200_11	0	0	0	1117	0
24190768|241217059	SARS-CoV-2_1200_12	0	0	0	1140	0
24190768|241217059	SARS-CoV-2_1200_13	0	0	0	1140	0
24190768|241217059	SARS-CoV-2_1200_14	0	0	0	1141	0
24190768|241217059	SARS-CoV-2_1200_15	0	0	0	1140	0
24190768|241217059	SARS-CoV-2_1200_16	0	0	0	1140	0
24190768|241217059	SARS-CoV-2_1200_17	0	0	0	1140	0
24190768|241217059	SARS-CoV-2_1200_18	0	0	0	1142	0
24190768|241217059	SARS-CoV-2_1200_19	0	0	0	1154	0
24190768|241217059	SARS-CoV-2_1200_20	0	0	0	1140	0
24190768|241217059	SARS-CoV-2_1200_21	0	0	0	1140	0
24190768|241217059	SARS-CoV-2_1200_22	1	0	0	1151	0
24190768|241217059	SARS-CoV-2_1200_23	1	0	0	1150	0
24190768|241217059	SARS-CoV-2_1200_24	0	0	0	1121	0
24190768|241217059	SARS-CoV-2_1200_25	0	0	0	1140	0
24190768|241217059	SARS-CoV-2_1200_26	0	0	0	1140	0
24190768|241217059	SARS-CoV-2_1200_27	1	0	0	1144	0
24190768|241217059	SARS-CoV-2_1200_28	0	1	0	1128	0
24191595|241217059	SARS-CoV-2_1200_2	0	0	0	1140	0
24191595|241217059	SARS-CoV-2_1200_3	0	0	0	1141	0
24191595|241217059	SARS-CoV-2_1200_4	0	0	0	1140	0
24191595|241217059	SARS-CoV-2_1200_5	0	0	0	1140	0
24191595|241217059	SARS-CoV-2_1200_6	0	0	0	1158	0
24191595|241217059	SARS-CoV-2_1200_7	0	0	0	1140	0
24191595|241217059	SARS-CoV-2_1200_8	0	0	0	1141	0
24191595|241217059	SARS-CoV-2_1200_9	0	0	0	1140	0
24191595|241217059	SARS-CoV-2_1200_10	0	0	0	1141	0
24191595|241217059	SARS-CoV-2_1200_11	0	0	0	1117	0
24191595|241217059	SARS-CoV-2_1200_12	0	0	0	1140	0
24191595|241217059	SARS-CoV-2_1200_13	0	0	0	1140	0
24191595|241217059	SARS-CoV-2_1200_14	0	0	0	1141	0
24191595|241217059	SARS-CoV-2_1200_15	0	0	0	1140	0
24191595|241217059	SARS-CoV-2_1200_16	0	0	0	1140	0
24191595|241217059	SARS-CoV-2_1200_17	0	0	0	1140	0
24191595|241217059	SARS-CoV-2_1200_18	0	0	0	1142	0
24191595|241217059	SARS-CoV-2_1200_19	0	0	0	1154	0
24191595|241217059	SARS-CoV-2_1200_20	0	0	0	1140	0
24191595|241217059	SARS-CoV-2_1200_21	0	0	0	1140	0
24191595|241217059	SARS-CoV-2_1200_22	1	0	0	1151	0
24191595|241217059	SARS-CoV-2_1200_23	1	0	0	1150	0
24191595|241217059	SARS-CoV-2_1200_24	0	0	0	1121	0
24191595|241217059	SARS-CoV-2_1200_25	0	0	0	1140	0
24191595|241217059	SARS-CoV-2_1200_26	0	0	0	1140	0
24191595|241217059	SARS-CoV-2_1200_27	1	0	0	1144	0
24191595|241217059	SARS-CoV-2_1200_28	0	1	0	1128	0
24191823|241217059	SARS-CoV-2_1200_2	0	0	0	1140	0
24191823|241217059	SARS-CoV-2_1200_3	0	0	0	1141	0
24191823|241217059	SARS-CoV-2_1200_4	0	0	0	1140	0
24191823|241217059	SARS-CoV-2_1200_5	0	0	0	1140	0
24191823|241217059	SARS-CoV-2_1200_6	0	0	0	1158	0
24191823|241217059	SARS-CoV-2_1200_7	0	0	0	1140	0
24191823|241217059	SARS-CoV-2_1200_8	0	0	0	1141	0
24191823|241217059	SARS-CoV-2_1200_9	0	0	0	1140	0
24191823|241217059	SARS-CoV-2_1200_10	0	0	0	1141	0
24191823|241217059	SARS-CoV-2_1200_11	0	0	0	1117	0
24191823|241217059	SARS-CoV-2_1200_12	0	0	0	1140	0
24191823|241217059	SARS-CoV-2_1200_13	0	0	0	1140	0
24191823|241217059	SARS-CoV-2_1200_14	0	0	0	1141	0
24191823|241217059	SARS-CoV-2_1200_15	0	0	0	1140	0
24191823|241217059	SARS-CoV-2_1200_16	0	0	0	1140	0
24191823|241217059	SARS-CoV-2_1200_17	0	0	0	1140	0
24191823|241217059	SARS-CoV-2_1200_18	0	0	0	1142	0
24191823|241217059	SARS-CoV-2_1200_19	0	0	0	1154	0
24191823|241217059	SARS-CoV-2_1200_20	0	0	0	1140	0
24191823|241217059	SARS-CoV-2_1200_21	0	0	0	1140	0
24191823|241217059	SARS-CoV-2_1200_22	1	0	0	1151	0
24191823|241217059	SARS-CoV-2_1200_23	1	0	0	1150	0
24191823|241217059	SARS-CoV-2_1200_24	0	0	0	1121	0
24191823|241217059	SARS-CoV-2_1200_25	0	0	0	1140	0
24191823|241217059	SARS-CoV-2_1200_26	0	0	0	1140	0
24191823|241217059	SARS-CoV-2_1200_27	1	0	0	1144	0
24191823|241217059	SARS-CoV-2_1200_28	0	1	0	1128	0
24191825|241217059	SARS-CoV-2_1200_2	0	0	0	1140	0
24191825|241217059	SARS-CoV-2_1200_3	0	0	0	1141	0
24191825|241217059	SARS-CoV-2_1200_4	0	0	0	1140	0
24191825|241217059	SARS-CoV-2_1200_5	0	0	0	1140	0
24191825|241217059	SARS-CoV-2_1200_6	0	0	0	1158	0
24191825|241217059	SARS-CoV-2_1200_7	0	0	0	1140	0
24191825|241217059	SARS-CoV-2_1200_8	0	0	0	1141	0
24191825|241217059	SARS-CoV-2_1200_9	0	0	0	1140	0
24191825|241217059	SARS-CoV-2_1200_10	0	0	0	1141	0
24191825|241217059	SARS-CoV-2_1200_11	0	0	0	1117	0
24191825|241217059	SARS-CoV-2_1200_12	0	0	0	1140	0
24191825|241217059	SARS-CoV-2_1200_13	0	0	0	1140	0
24191825|241217059	SARS-CoV-2_1200_14	0	0	0	1141	0
24191825|241217059	SARS-CoV-2_1200_15	0	0	0	1140	0
24191825|241217059	SARS-CoV-2_1200_16	0	0	0	1140	0
24191825|241217059	SARS-CoV-2_1200_17	0	0	0	1140	0
24191825|241217059	SARS-CoV-2_1200_18	0	0	0	1142	0
24191825|241217059	SARS-CoV-2_1200_19	0	0	0	1154	0
24191825|241217059	SARS-CoV-2_1200_20	0	0	0	1140	0
24191825|241217059	SARS-CoV-2_1200_21	0	0	0	1140	0
24191825|241217059	SARS-CoV-2_1200_22	1	0	0	1151	0
24191825|241217059	SARS-CoV-2_1200_23	1	0	0	1150	0
24191825|241217059	SARS-CoV-2_1200_24	0	0	0	1121	0
24191825|241217059	SARS-CoV-2_1200_25	0	0	0	1140	0
24191825|241217059	SARS-CoV-2_1200_26	0	0	0	1140	0
24191825|241217059	SARS-CoV-2_1200_27	1	0	0	1144	0
24191825|241217059	SARS-CoV-2_1200_28	0	1	0	1128	0
24192687|241217059	SARS-CoV-2_1200_2	0	0	0	1140	0
24192687|241217059	SARS-CoV-2_1200_3	0	0	0	1141	0
24192687|241217059	SARS-CoV-2_1200_4	0	0	0	1140	0
24192687|241217059	SARS-CoV-2_1200_5	0	0	0	1140	0
24192687|241217059	SARS-CoV-2_1200_6	0	0	0	1158	0
24192687|241217059	SARS-CoV-2_1200_7	0	0	0	1140	0
24192687|241217059	SARS-CoV-2_1200_8	0	0	0	1141	0
24192687|241217059	SARS-CoV-2_1200_9	0	0	0	1140	0
24192687|241217059	SARS-CoV-2_1200_10	0	0	0	1141	0
24192687|241217059	SARS-CoV-2_1200_11	0	0	0	1117	0
24192687|241217059	SARS-CoV-2_1200_12	0	0	0	1140	0
24192687|241217059	SARS-CoV-2_1200_13	0	0	0	1140	0
24192687|241217059	SARS-CoV-2_1200_14	0	0	0	1141	0
24192687|241217059	SARS-CoV-2_1200_15	0	0	0	1140	0
24192687|241217059	SARS-CoV-2_1200_16	0	0	0	1140	0
24192687|241217059	SARS-CoV-2_1200_17	0	0	0	1140	0
24192687|241217059	SARS-CoV-2_1200_18	0	0	0	1142	0
24192687|241217059	SARS-CoV-2_1200_19	0	0	0	1154	0
24192687|241217059	SARS-CoV-2_1200_20	0	0	0	1140	0
24192687|241217059	SARS-CoV-2_1200_21	0	0	0	1140	0
24192687|241217059	SARS-CoV-2_1200_22	1	0	0	1151	0
24192687|241217059	SARS-CoV-2_1200_23	1	0	0	1150	0
24192687|241217059	SARS-CoV-2_1200_24	0	0	0	1121	0
24192687|241217059	SARS-CoV-2_1200_25	0	0	0	1143	0
24192687|241217059	SARS-CoV-2_1200_26	0	0	0	1140	0
24192687|241217059	SARS-CoV-2_1200_27	1	0	0	1144	0
24192687|241217059	SARS-CoV-2_1200_28	0	1	0	1128	0
24194576|241217059	SARS-CoV-2_1200_2	0	0	0	1140	0
24194576|241217059	SARS-CoV-2_1200_3	0	1	0	1141	0
24194576|241217059	SARS-CoV-2_1200_4	0	0	0	1140	0
24194576|241217059	SARS-CoV-2_1200_5	0	0	0	1140	0
24194576|241217059	SARS-CoV-2_1200_6	0	0	0	1158	0
24194576|241217059	SARS-CoV-2_1200_7	0	0	0	1140	0
24194576|241217059	SARS-CoV-2_1200_8	0	0	0	1141	0
24194576|241217059	SARS-CoV-2_1200_9	0	0	0	1140	0
24194576|241217059	SARS-CoV-2_1200_10	0	0	0	1141	0
24194576|241217059	SARS-CoV-2_1200_11	0	0	0	1117	0
24194576|241217059	SARS-CoV-2_1200_12	0	0	0	1140	0
24194576|241217059	SARS-CoV-2_1200_13	0	0	0	1140	0
24194576|241217059	SARS-CoV-2_1200_14	0	0	0	1141	0
24194576|241217059	SARS-CoV-2_1200_15	0	0	0	1140	0
24194576|241217059	SARS-CoV-2_1200_16	0	0	0	1140	0
24194576|241217059	SARS-CoV-2_1200_17	0	0	0	1140	0
24194576|241217059	SARS-CoV-2_1200_18	0	0	0	1142	0
24194576|241217059	SARS-CoV-2_1200_19	0	0	0	1154	0
24194576|241217059	SARS-CoV-2_1200_20	0	0	0	1140	0
24194576|241217059	SARS-CoV-2_1200_21	0	0	0	1140	0
24194576|241217059	SARS-CoV-2_1200_22	1	0	0	1151	0
24194576|241217059	SARS-CoV-2_1200_23	1	0	0	1150	0
24194576|241217059	SARS-CoV-2_1200_24	0	0	0	1121	0
24194576|241217059	SARS-CoV-2_1200_25	0	0	0	1140	0
24194576|241217059	SARS-CoV-2_1200_26	0	0	0	1140	0
24194576|241217059	SARS-CoV-2_1200_27	1	0	0	1144	0
24194576|241217059	SARS-CoV-2_1200_28	0	1	0	1128	0
24194586|241217059	SARS-CoV-2_1200_2	0	0	0	1140	0
24194586|241217059	SARS-CoV-2_1200_3	0	0	0	1141	0
24194586|241217059	SARS-CoV-2_1200_4	0	0	0	1140	0
24194586|241217059	SARS-CoV-2_1200_5	0	0	0	1140	0
24194586|241217059	SARS-CoV-2_1200_6	0	0	0	1158	0
24194586|241217059	SARS-CoV-2_1200_7	0	0	0	1140	0
24194586|241217059	SARS-CoV-2_1200_8	0	0	0	1141	0
24194586|241217059	SARS-CoV-2_1200_9	0	0	0	1140	0
24194586|241217059	SARS-CoV-2_1200_10	0	0	0	1141	0
24194586|241217059	SARS-CoV-2_1200_11	0	0	0	1117	0
24194586|241217059	SARS-CoV-2_1200_12	0	0	0	1140	0
24194586|241217059	SARS-CoV-2_1200_13	0	0	0	1140	0
24194586|241217059	SARS-CoV-2_1200_14	0	0	0	1141	0
24194586|241217059	SARS-CoV-2_1200_15	0	0	0	1140	0
24194586|241217059	SARS-CoV-2_1200_16	0	0	0	1140	0
24194586|241217059	SARS-CoV-2_1200_17	0	0	0	1140	0
24194586|241217059	SARS-CoV-2_1200_18	0	0	0	1142	0
24194586|241217059	SARS-CoV-2_1200_19	0	0	0	1154	0
24194586|241217059	SARS-CoV-2_1200_20	0	0	0	1140	0
24194586|241217059	SARS-CoV-2_1200_21	0	0	0	1140	0
24194586|241217059	SARS-CoV-2_1200_22	1	0	0	1151	0
24194586|241217059	SARS-CoV-2_1200_23	1	0	0	1150	0
24194586|241217059	SARS-CoV-2_1200_24	0	0	0	1121	0
24194586|241217059	SARS-CoV-2_1200_25	0	0	0	1140	0
24194586|241217059	SARS-CoV-2_1200_26	0	0	0	1140	0
24194586|241217059	SARS-CoV-2_1200_27	1	0	0	1144	0
24194586|241217059	SARS-CoV-2_1200_28	0	1	0	1128	0
24196999|241217059	SARS-CoV-2_1200_2	0	0	0	1140	0
24196999|241217059	SARS-CoV-2_1200_3	0	0	0	1141	0
24196999|241217059	SARS-CoV-2_1200_4	0	0	0	1140	0
24196999|241217059	SARS-CoV-2_1200_5	0	0	0	1140	0
24196999|241217059	SARS-CoV-2_1200_6	0	0	0	1158	0
24196999|241217059	SARS-CoV-2_1200_7	0	0	0	1140	0
24196999|241217059	SARS-CoV-2_1200_8	0	0	0	1141	0
24196999|241217059	SARS-CoV-2_1200_9	0	0	0	1140	0
24196999|241217059	SARS-CoV-2_1200_10	0	0	0	1141	0
24196999|241217059	SARS-CoV-2_1200_11	0	0	0	1117	0
24196999|241217059	SARS-CoV-2_1200_12	0	0	0	1140	0
24196999|241217059	SARS-CoV-2_1200_13	0	0	0	1140	0
24196999|241217059	SARS-CoV-2_1200_14	0	0	0	1141	0
24196999|241217059	SARS-CoV-2_1200_15	0	0	0	1140	0
24196999|241217059	SARS-CoV-2_1200_16	0	0	0	1140	0
24196999|241217059	SARS-CoV-2_1200_17	0	0	0	1140	0
24196999|241217059	SARS-CoV-2_1200_18	0	0	0	1142	0
24196999|241217059	SARS-CoV-2_1200_19	0	0	0	1154	0
24196999|241217059	SARS-CoV-2_1200_20	0	0	0	1140	0
24196999|241217059	SARS-CoV-2_1200_21	0	0	0	1140	0
24196999|241217059	SARS-CoV-2_1200_22	1	0	0	1151	0
24196999|241217059	SARS-CoV-2_1200_23	1	0	0	1150	0
24196999|241217059	SARS-CoV-2_1200_24	0	0	0	1121	0
24196999|241217059	SARS-CoV-2_1200_25	0	0	0	1140	0
24196999|241217059	SARS-CoV-2_1200_26	0	0	0	1140	0
24196999|241217059	SARS-CoV-2_1200_27	1	0	0	1144	0
24196999|241217059	SARS-CoV-2_1200_28	0	1	0	1128	0
24197006|241217059	SARS-CoV-2_1200_2	0	0	0	1140	0
24197006|241217059	SARS-CoV-2_1200_3	0	0	0	1141	0
24197006|241217059	SARS-CoV-2_1200_4	0	0	0	1140	0
